"Role","Question","Answer","Difficulty","Company"
"Backend Engineer","What is a 'hash collision'?","A hash collision occurs when a hash function generates the same hash value for two different inputs. Since hash functions map a large input space to a smaller, fixed-size output space, collisions are inevitable. In data structures like hash tables, collisions are typically handled by techniques like 'chaining' (storing colliding items in a linked list at the same hash index) or 'open addressing' (probing for the next available slot).","Easy","Google"
"Backend Engineer","From a first-principles perspective, why do we need API gateways?","Fundamentally, as you decompose a system into more granular microservices, you create a complex network of endpoints. An API gateway acts as a single, unified entry point for all clients, simplifying the client-side interaction. It addresses cross-cutting concerns that would otherwise need to be implemented in every single microservice, such as authentication, rate limiting, logging, and routing, thus centralizing and standardizing these essential functions.","Hard","Uber"
"Backend Engineer","What is Conway's Law?","Conway's Law is an adage stating that organizations design systems that mirror their own communication structure. For example, if a company is split into a 'frontend team', 'backend team', and 'database team', the resulting system will likely have a monolithic frontend, a monolithic backend, and a single database. This is a crucial concept in system design, suggesting that to achieve a certain architecture (like microservices), you may need to first change the structure of your teams.","Hard","Spotify"
"Frontend Engineer","What is the difference between `let`, `const`, and `var` in JavaScript?","`var` is function-scoped and hoisted, meaning it's treated as if it were declared at the top of its containing function, which can lead to unexpected behavior. `let` and `const` are block-scoped (scoped to the nearest curly braces) and are not hoisted in the same way, leading to more predictable code. `const` is like `let` but the variable's value cannot be reassigned after initialization.","Easy","Meta"
"Frontend Engineer","Explain the CSS box model from first principles.","The CSS box model is a fundamental concept that describes how every HTML element is rendered as a rectangular box. This box is composed of four parts, layered from the inside out: the content itself (text, image), padding (the transparent space around the content), the border (a line around the padding), and the margin (the transparent space around the border that separates it from other elements). The total width and height of an element is the sum of its content, padding, and border sizes.","Easy","Shopify"
"Frontend Engineer","What is the browser's event loop and how does it work?","The event loop is a mechanism that allows JavaScript, which is single-threaded, to handle asynchronous operations without getting blocked. It continuously checks two queues: the task queue (for events like clicks, setTimeout) and the microtask queue (for promises, MutationObserver). When the main call stack is empty, the event loop processes all tasks in the microtask queue first, and then processes one task from the task queue, repeating this cycle.","Hard","Google"
"Frontend Engineer","What is the Virtual DOM and why is it faster than direct DOM manipulation?","The Virtual DOM (VDOM) is a programming concept where a virtual representation of a UI is kept in memory and synced with the 'real' DOM. When a component's state changes, a new VDOM tree is created. This new tree is then compared ('diffed') with the previous VDOM tree to identify the specific changes. Finally, only these minimal changes are batched together and applied to the real DOM, which is much more efficient than re-rendering large parts of the actual DOM, as DOM manipulation is a slow operation.","Medium","Netflix"
"Frontend Engineer","Differentiate between `null` and `undefined` in JavaScript.","`undefined` is a primitive value that typically means a variable has been declared but has not yet been assigned a value. `null` is also a primitive value, but it represents the intentional absence of any object value. It must be explicitly assigned by a developer to indicate that a variable has no value.","Easy","Amazon"
"Frontend Engineer","What are React Hooks?","Hooks are functions that let you 'hook into' React state and lifecycle features from function components. They allow youto use state and other React features without writing a class. The most common hooks are `useState` for adding state to a component and `useEffect` for performing side effects (like data fetching or subscriptions) after a component renders.","Easy","Airbnb"
"Frontend Engineer","Explain what 'prop drilling' is in React and how to avoid it.","Prop drilling is the process of passing down props from a parent component to a child component deep in the tree, through intermediate components that don't actually need the props themselves. This can make components less reusable and harder to maintain. It can be avoided by using state management libraries like Redux or Zustand, or by using React's built-in Context API to provide data to any component in the tree without passing it down manually.","Medium","Uber"
"Frontend Engineer","What is CSS specificity?","CSS Specificity is the set of rules browsers use to determine which CSS style declaration is the most specific and therefore should be applied to an element. The specificity is calculated based on the selectors used: inline styles have the highest specificity, followed by IDs, then classes/attributes/pseudo-classes, and finally element types/pseudo-elements. When two selectors have equal specificity, the one that appears last in the CSS wins.","Medium","Stripe"
"Frontend Engineer","What is a closure in JavaScript?","A closure is the combination of a function and the lexical environment within which that function was declared. This means a function has access to variables from its outer (enclosing) scope, even after the outer function has finished executing. Closures are fundamental to many patterns in JavaScript, including data privacy and callbacks.","Hard","Microsoft"
"Frontend Engineer","What's the difference between `==` and `===` in JavaScript?","The `==` operator performs a loose equality comparison, which means it will attempt to convert the operands to the same type before making the comparison (type coercion). The `===` operator performs a strict equality comparison, which means it will return `false` if the operands are of different types, without attempting any type conversion. It's generally recommended to use `===` to avoid unexpected behavior from type coercion.","Easy","Spotify"
"Frontend Engineer","Explain the purpose of the `useEffect` hook in React.","The `useEffect` hook lets you perform side effects in function components. Side effects are operations that can affect other components and can't be done during rendering, such as fetching data from an API, setting up a subscription, or manually changing the DOM. `useEffect` runs after every render by default, but you can control when it runs by passing a dependency array.","Medium","Netflix"
"Frontend Engineer","What is responsive web design?","Responsive web design is an approach to web design that makes web pages render well on a variety of devices and window or screen sizes. It typically involves using flexible grids and layouts (like Flexbox or CSS Grid), images that scale, and CSS media queries to apply different styles based on the characteristics of the user's device, such as its width.","Easy","Shopify"
"Frontend Engineer","What are Promises in JavaScript?","A Promise is an object representing the eventual completion (or failure) of an asynchronous operation and its resulting value. It allows you to write asynchronous code that is easier to read and manage than traditional callback-based approaches, avoiding 'callback hell'. A Promise can be in one of three states: pending, fulfilled (resolved), or rejected.","Medium","Google"
"Frontend Engineer","What is the difference between Shadow DOM and Virtual DOM?","Virtual DOM is a JavaScript concept used by libraries like React to improve performance by minimizing direct DOM manipulation. Shadow DOM is a browser technology designed for encapsulation; it allows you to isolate a part of the DOM tree (including its styles and scripts) from the main document's DOM, preventing style conflicts. They are different concepts that solve different problems.","Hard","Meta"
"Frontend Engineer","How do you optimize a website's performance?","Key strategies include: minimizing HTTP requests by bundling CSS and JS files, compressing assets (images, scripts), using a CDN to serve content closer to users, lazy loading images and components that are not in the initial viewport, and optimizing the critical rendering path to display initial content as fast as possible. Code-splitting with tools like Webpack can also reduce the initial JavaScript payload.","Hard","Amazon"
"Frontend Engineer","What is `this` keyword in JavaScript?","The value of the `this` keyword depends on the context in which it is used. In the global scope, it refers to the global object (`window` in a browser). Inside a method of an object, it refers to the object itself. In an event handler, it can refer to the element that received the event. In arrow functions, `this` is lexically scoped, meaning it inherits the `this` value from its surrounding code.","Medium","Microsoft"
"Frontend Engineer","What is the role of a package manager like npm or yarn?","A package manager automates the process of installing, updating, configuring, and removing software packages (dependencies) for a project. It maintains a list of project dependencies in a manifest file (like `package.json`) and ensures that the correct versions of these packages are installed. This makes it easy to share projects and manage complex dependency trees.","Easy","Stripe"
"Frontend Engineer","Explain CSS Flexbox.","Flexbox is a one-dimensional layout model in CSS that offers an efficient way to lay out, align, and distribute space among items in a container, even when their size is unknown or dynamic. It allows items to 'flex' their sizes to fill available space or shrink to prevent overflow. Key properties include `display: flex`, `flex-direction`, `justify-content`, and `align-items`.","Medium","Airbnb"
"Frontend Engineer","What is the difference between `localStorage` and `sessionStorage`?","Both `localStorage` and `sessionStorage` are browser APIs for storing key-value pairs. The key difference is persistence: data in `localStorage` persists even after the browser is closed and reopened, and is shared across all tabs and windows from the same origin. Data in `sessionStorage` is only available for the duration of the page session; it is cleared when the tab or window is closed.","Easy","Uber"

"Frontend Engineer","What is tree shaking?","Tree shaking is a term commonly used in the context of JavaScript bundlers like Webpack or Rollup. It's a dead code elimination process where unused exports are removed from the final bundle file. This helps to significantly reduce the size of the application, leading to faster load times.","Medium","Shopify"
"Frontend Engineer","Describe the `async` and `await` keywords in JavaScript.","`async` and `await` are syntactic sugar built on top of Promises, making asynchronous code look and behave more like synchronous code, which makes it easier to read and write. An `async` function always returns a Promise. The `await` keyword can only be used inside an `async` function and it pauses the execution of the function until the awaited Promise is resolved or rejected.","Medium","Google"
"Frontend Engineer","What is the Same-Origin Policy?","The Same-Origin Policy is a critical security mechanism in web browsers that restricts how a document or script loaded from one origin can interact with a resource from another origin. An origin is defined by the combination of protocol, hostname, and port number. This policy prevents malicious scripts on one page from obtaining sensitive data from another web page through DOM manipulation.","Medium","Meta"
"Frontend Engineer","How would you handle state management in a large-scale React application?","For a large-scale application, while React's Context API can be used, it may lead to performance issues if the context value changes frequently. A dedicated state management library like Redux or Zustand is often a better choice. Redux provides a single, predictable state container and a strict unidirectional data flow, which makes debugging easier. Zustand offers a simpler, hook-based API that is less boilerplate-heavy.","Hard","Netflix"
"Frontend Engineer","What are CSS preprocessors and why would you use one?","CSS preprocessors like Sass or Less are scripting languages that extend the default capabilities of CSS. They allow you to use features that don't exist in plain CSS, such as variables, nesting, mixins, and functions. This makes the CSS more maintainable, organized, and reusable, especially in large projects. The preprocessed code is then compiled into standard CSS that browsers can understand.","Medium","Spotify"
"Frontend Engineer","Explain event delegation in JavaScript.","Event delegation is a technique that involves attaching a single event listener to a parent element instead of attaching listeners to multiple child elements. This listener analyzes bubbled events to find a match on the child elements. This approach is more memory-efficient and simplifies code, especially for dynamically added or removed elements, as you don't need to add/remove individual listeners.","Medium","Amazon"
"Frontend Engineer","What is the Critical Rendering Path?","The Critical Rendering Path is the sequence of steps the browser goes through to convert the HTML, CSS, and JavaScript into pixels on the screen. Optimizing this path is key to improving perceived performance. The steps include constructing the DOM and CSSOM trees, combining them into a render tree, calculating the layout (geometry) of each visible element, and finally painting the pixels to the screen.","Hard","Google"
"Frontend Engineer","What is the purpose of the `key` prop in React lists?","The `key` prop is a special string attribute you need to include when creating lists of elements in React. Keys help React identify which items have changed, are added, or are removed. They should be stable, predictable, and unique for each item in the list, allowing React to efficiently update the UI by matching elements between the old and new VDOM trees.","Easy","Airbnb"
"Frontend Engineer","What is memoization in the context of React?","Memoization is an optimization technique used to speed up computer programs by storing the results of expensive function calls and returning the cached result when the same inputs occur again. In React, this is achieved with `React.memo` for components and the `useMemo` and `useCallback` hooks for functions and values. This prevents unnecessary re-renders and re-calculations when the inputs (props or dependencies) haven't changed.","Hard","Netflix"
"Frontend Engineer","What are semantic HTML tags? Give some examples.","Semantic HTML tags are elements that clearly describe their meaning or purpose to both the browser and the developer. Using them improves accessibility and SEO. Examples include `<header>`, `<footer>`, `<nav>`, `<article>`, `<section>`, and `<main>`, as opposed to non-semantic tags like `<div>` and `<span>` which carry no meaning about their content.","Easy","Stripe"
"Frontend Engineer","What is CORS and why is it important?","CORS (Cross-Origin Resource Sharing) is a browser security feature that controls how web applications in one domain can request and interact with resources in another domain. By default, browsers block these cross-origin requests for security reasons (Same-Origin Policy). CORS allows servers to explicitly specify which other origins are permitted to access their resources, using special HTTP headers.","Medium","Uber"
"Frontend Engineer","How does CSS Grid Layout work?","CSS Grid is a two-dimensional layout system for the web, allowing you to create complex layouts with rows and columns. You define a grid container with `display: grid` and then specify the size and structure of the columns and rows with properties like `grid-template-columns` and `grid-template-rows`. Child elements can then be placed precisely onto this grid.","Medium","Shopify"
"Frontend Engineer","What is code splitting?","Code splitting is a feature supported by bundlers like Webpack that can create multiple bundles that can be dynamically loaded at runtime. Instead of one large JavaScript file that contains all the code for an application, you can split it into smaller chunks. This allows you to load code on demand, for example, only loading the code for a specific route when the user navigates to it, improving the initial load time of the application.","Medium","Microsoft"
"Frontend Engineer","What are Progressive Web Apps (PWAs)?","Progressive Web Apps are web applications that use modern web capabilities to deliver an app-like experience to users. Key features include the ability to work offline using service workers, being installable on the user's home screen via a web app manifest, and the ability to send push notifications. They aim to combine the best of both web and native applications.","Hard","Google"
"Frontend Engineer","From a first principles standpoint, why do we need state management libraries like Redux?","At its core, a user interface is a function of its state (`UI = f(state)`). In complex applications, this state can become scattered across many components, passed down as props, and updated from various places, making it difficult to track and reason about. State management libraries like Redux centralize the application's state into a single, predictable 'store'. This creates a single source of truth and enforces a unidirectional data flow, which makes the state changes predictable and easier to debug, solving the fundamental problem of managing complexity as an application grows.","Hard","Meta"
"Frontend Engineer","Explain the concept of 'hoisting' in JavaScript.","Hoisting is JavaScript's default behavior of moving all declarations to the top of the current scope (to the top of the current script or the current function) before code execution. This means you can use a variable or function before it has been declared. However, only the declarations are hoisted, not the initializations. For this reason, `var`-declared variables are hoisted with an initial value of `undefined`, while `let` and `const` are also hoisted but are not initialized, putting them in a 'temporal dead zone'.","Medium","Spotify"
"Frontend Engineer","What are service workers?","A service worker is a script that your browser runs in the background, separate from a web page, enabling features that don't need a web page or user interaction. Key features include intercepting and handling network requests, which allows for offline caching capabilities, and processing push notifications. They act as a programmable network proxy, giving you fine-grained control over network requests.","Hard","Amazon"
"Frontend Engineer","What is the `defer` attribute on a `<script>` tag?","The `defer` attribute is a boolean attribute that tells the browser to execute the script file after the HTML document has been fully parsed, but before the `DOMContentLoaded` event fires. Scripts with `defer` are downloaded asynchronously without blocking the HTML parsing and are executed in the order they appear in the document. This is useful for scripts that need the full DOM to be available.","Medium","Microsoft"
"Frontend Engineer","What is the difference between an attribute and a property in the DOM?","Attributes are defined by HTML and are found in the HTML source code (e.g., `id="my-input"`). Properties are part of the DOM object in JavaScript (e.g., `element.id`). While many attributes have a direct 1-to-1 mapping to a property, they are not the same thing. For example, the `value` attribute of an input reflects the initial value, while the `value` property reflects the current value.","Hard","Airbnb"
"Frontend Engineer","What is Accessibility (a11y) in web development?","Accessibility (often abbreviated as a11y) is the practice of making your websites usable by as many people as possible, including those with disabilities such as visual, auditory, motor, or cognitive impairments. This involves using semantic HTML, providing text alternatives for images (`alt` attributes), ensuring sufficient color contrast, and making sure the site is fully navigable using only a keyboard.","Medium","Google"
"Frontend Engineer","What is a pure component in React?","A pure component is a component that only re-renders if its props or state have changed. In class components, this can be achieved by extending `React.PureComponent`, which performs a shallow comparison of props and state. In function components, the same behavior can be achieved by wrapping the component in `React.memo()`.","Medium","Netflix"
"DevOps","What is a Docker container? How is it different from a virtual machine?","A Docker container is a lightweight, standalone, executable package of software that includes everything needed to run it: code, runtime, system tools, system libraries, and settings. Unlike a Virtual Machine (VM), which virtualizes the entire hardware stack including the operating system, a container virtualizes the operating system itself. This means containers are much smaller, faster to start, and share the host machine's OS kernel, making them more efficient.","Easy","Amazon"
"DevOps","What is Infrastructure as Code (IaC) and why is it important?","Infrastructure as Code is the practice of managing and provisioning IT infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. Tools like Terraform, Ansible, or CloudFormation allow you to define infrastructure in code, which enables version control, automated and repeatable deployments, and reduces the risk of human error associated with manual configuration.","Medium","Google"
"DevOps","Explain the core components of Kubernetes.","Kubernetes has a master-node architecture. The master node's components (the Control Plane) include the `API Server` (the entry point for all REST commands), `etcd` (a consistent and highly-available key-value store for all cluster data), the `Scheduler` (which assigns pods to nodes), and the `Controller Manager` (which runs controller processes). Node components include the `Kubelet` (an agent that ensures containers are running in a pod) and the `Kube-proxy` (which maintains network rules on nodes).","Hard","Microsoft"
"DevOps","What is a CI/CD pipeline?","A CI/CD pipeline is an automated process for delivering software from development to production. CI (Continuous Integration) is the practice of frequently merging code changes into a central repository, after which automated builds and tests are run. CD (Continuous Delivery/Deployment) is the practice of automatically releasing the successfully tested code to a staging environment (Delivery) or directly to production (Deployment).","Easy","Shopify"
"DevOps","What is the purpose of a configuration management tool like Ansible, Puppet, or Chef?","Configuration management tools are used to automate the process of configuring and maintaining the state of servers and other infrastructure. They ensure that systems are in a desired, consistent state by defining configurations in code. This helps in managing complex environments at scale, enforcing consistency, and automating repetitive administrative tasks.","Medium","Uber"
"DevOps","Explain the difference between a container and an image in Docker.","A Docker image is an immutable template that contains the application code, libraries, and dependencies needed to run an application. A container is a runnable instance of an image. You can create multiple containers from the same image, each running as an isolated process.","Easy","Netflix"
"DevOps","What is monitoring vs. logging?","Logging is the practice of recording discrete events that have happened in the past, such as an error or a user request. Monitoring is the practice of collecting and analyzing metrics over time to observe the health and performance of a system in real-time. Logs are for debugging specific past events, while monitoring is for understanding trends and alerting on current problems.","Medium","Stripe"
"DevOps","How would you secure a Kubernetes cluster?","Securing a Kubernetes cluster is a multi-layered process. It includes securing the control plane with strong authentication, using Role-Based Access Control (RBAC) to enforce the principle of least privilege, defining Network Policies to control traffic between pods, using Pod Security Policies to restrict container capabilities, and regularly scanning container images for vulnerabilities.","Hard","Google"
"DevOps","What is a 'rolling update' deployment strategy?","A rolling update is a deployment strategy that slowly replaces instances of the previous version of an application with instances of the new version, without taking the entire application down. This is done by incrementally updating a subset of instances at a time. This approach ensures zero downtime but can have a mix of old and new versions running simultaneously for a short period.","Medium","Airbnb"

"DevOps","From first principles, explain how containerization works.","Fundamentally, containerization is a form of OS-level virtualization that leverages features of the host machine's Linux kernel to achieve isolation. It primarily uses two kernel features: 'namespaces' to isolate a process's view of the system (e.g., process IDs, network, filesystem mounts), making it appear as if it has its own OS; and 'control groups' (cgroups) to limit the amount of resources (CPU, memory) a process can use. This direct use of kernel features, rather than emulating hardware, is why containers are so lightweight and fast.","Hard","Amazon"
"DevOps","What is a service mesh, and what problems does it solve?","A service mesh is a dedicated infrastructure layer for handling service-to-service communication in a microservices architecture. It provides features like reliable delivery of requests, service discovery, load balancing, encryption (mTLS), observability, and tracing in a way that is decoupled from the application code. Tools like Istio or Linkerd typically implement this using a 'sidecar proxy' that runs alongside each service instance.","Hard","Uber"
"DevOps","What is GitOps?","GitOps is a way of implementing Continuous Delivery for cloud-native applications, where Git is the central source of truth. It works by having a Git repository that contains declarative descriptions of the desired production environment. An automated process (like a Kubernetes operator) then ensures that the production environment matches the state described in the repository. This provides a clear audit trail, simplifies rollbacks, and improves security.","Hard","Microsoft"
"DevOps","Explain the concept of 'cattle vs. pets' in infrastructure management.","This is an analogy used to describe a shift in how servers are treated in modern cloud environments. 'Pets' are servers that are treated as indispensable and are manually nurtured back to health when they fail. 'Cattle' are servers that are designed for failure; when one fails, it is simply terminated and replaced by a new, identical one, typically through automation. This mindset is crucial for building scalable and resilient systems.","Medium","Netflix"
"DevOps","What is Terraform and what is its state file for?","Terraform is an open-source Infrastructure as Code tool by HashiCorp that allows you to define and provision infrastructure across various cloud providers using a declarative configuration language. The Terraform state file (`.tfstate`) is a crucial component that stores the state of the managed infrastructure. Terraform uses this file to map real-world resources to your configuration, keep track of metadata, and improve performance for large infrastructures.","Medium","Stripe"
"DevOps","What is the difference between declarative and imperative approaches to configuration?","An imperative approach specifies the exact steps to be executed to reach a desired configuration (e.g., 'run this command, then this command'). Scripting with Bash is an example. A declarative approach specifies the desired end state, and the underlying tool figures out how to achieve that state (e.g., 'I want 3 servers with this configuration'). Tools like Kubernetes and Terraform are declarative. Declarative approaches are generally more robust and easier to manage at scale.","Medium","Google"
"DevOps","How do you handle sensitive information like API keys or passwords in your CI/CD pipeline?","Sensitive information should never be hardcoded in configuration files or scripts. It should be managed using a secrets management tool like HashiCorp Vault, AWS Secrets Manager, or GCP Secret Manager. The CI/CD pipeline should be configured with permissions to securely retrieve these secrets at runtime when they are needed for a deployment, rather than storing them directly within the pipeline's configuration.","Hard","Shopify"
"DevOps","What is a Dockerfile?","A Dockerfile is a text document that contains all the commands a user could call on the command line to assemble a Docker image. It's a set of instructions for building the image, specifying the base image to use (`FROM`), commands to run (`RUN`), files to copy (`COPY`), and the default command to execute when a container is started (`CMD` or `ENTRYPOINT`).","Easy","Spotify"
"DevOps","What is chaos engineering?","Chaos engineering is the discipline of experimenting on a system in order to build confidence in the system's capability to withstand turbulent conditions in production. It involves proactively injecting failures—like terminating servers, injecting latency, or simulating network outages—in a controlled environment to identify weaknesses before they cause a real outage. Netflix's Chaos Monkey is a well-known example.","Hard","Netflix"
"DevOps","Explain the purpose of DNS (Domain Name System).","DNS is the phonebook of the Internet. Humans access information online through domain names, like google.com. Web browsers, however, interact through Internet Protocol (IP) addresses. DNS translates human-readable domain names into machine-readable IP addresses, allowing browsers to load Internet resources.","Easy","Meta"
"DevOps","What are the benefits of using a cloud provider like AWS, GCP, or Azure over on-premise infrastructure?","Cloud providers offer several benefits: scalability and elasticity (pay-as-you-go and scale up or down as needed), reduced capital expenditure (no need to buy and maintain physical hardware), global reach, and a wide range of managed services (databases, machine learning, etc.) that can accelerate development. The trade-off is often a higher operational expenditure and potential vendor lock-in.","Easy","Amazon"
"DevOps","What is a Helm chart in Kubernetes?","Helm is a package manager for Kubernetes. A Helm Chart is a collection of files that describe a related set of Kubernetes resources. It provides a way to package, configure, and deploy applications and services onto Kubernetes clusters, making it easy to manage the complexity of Kubernetes applications and share them with others.","Medium","Microsoft"
"DevOps","What are some key metrics to monitor for a web application?","Key metrics can be categorized by the 'four golden signals': Latency (the time it takes to service a request), Traffic (a measure of demand, like HTTP requests per second), Errors (the rate of requests that fail), and Saturation (how 'full' the service is, like CPU or memory utilization). Monitoring these signals provides a comprehensive view of the application's health.","Medium","Uber"
"DevOps","What is the difference between Continuous Delivery and Continuous Deployment?","Both are extensions of Continuous Integration. Continuous Delivery means that every code change that passes the automated tests is automatically released to a staging or pre-production environment, but a manual approval is required to push it to production. Continuous Deployment goes one step further by automatically deploying every passed change directly to production without any human intervention.","Medium","Shopify"
"DevOps","What is 'canary deployment'?","A canary deployment is a release strategy where the new version of an application is gradually rolled out to a small subset of users before making it available to everyone. This allows you to test the new version in a live production environment with real traffic while minimizing the impact of any potential issues. If the canary version performs well, the rollout is gradually expanded to the entire user base.","Medium","Netflix"
